cntr_01,dist_x,pang_x,catalogid,ra,dec,gaia_dr3_source_id,snr_snowwhite,wd_type,teff_snowwhite,e_teff_snowwhite,logg_snowwhite,e_logg_snowwhite,spec_file,sn_median_all,mjd,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ext_flg,var_flg,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
919,0.161367,103.441151,2.7021597911E+016,185.28382874,51.975387573,1.5480179857E+018,31.154247284,DA,19096.132812,346.88745117,7.7957849503,0.0011409001891,spec-104635-59975-27021597910860506.fits,2.2920744419,59975,J122108.13+515831.3,185.2838995,51.9753772,0.2284,0.2411,0.0523,15.477,0.044,24.6,0.947,15.378,0.111,9.8,0.9979,13.093,null,-0.8,1.075,9.283,null,0.4,0.9682,1,0,0,0,0,0.002,0,0,10nn,11,19,20,7,20,0,19,0,19,620214780,16.435,0.126,15.703,0.159,15.251,0.182
920,0.161367,103.441151,2.7021597911E+016,185.28382874,51.975387573,1.5480179857E+018,31.154247284,DA,19096.132812,346.88745117,7.7957849503,0.0011409001891,spec-104635-60052-27021597910860506.fits,4.0557866096,60052,J122108.13+515831.3,185.2838995,51.9753772,0.2284,0.2411,0.0523,15.477,0.044,24.6,0.947,15.378,0.111,9.8,0.9979,13.093,null,-0.8,1.075,9.283,null,0.4,0.9682,1,0,0,0,0,0.002,0,0,10nn,11,19,20,7,20,0,19,0,19,620214780,16.435,0.126,15.703,0.159,15.251,0.182
997,0.053986,47.111806,4866899654,259.87149048,-8.5148744583,4.3596644843E+018,10.59287262,DA,89000,0,7.9020009041,0.0018624183722,spec-015339-59354-4866899654.fits,7.7049155235,59354,J171929.16-083053.5,259.8715016,-8.5148643,0.2413,0.2674,-0.032,15.112,0.047,23,1.074,15.334,0.155,7,0.9076,12.267,null,0.2,1.032,8.967,null,0,0.8571,1,0,0,0,0,0,0,0,0nnn,0,12,13,3,12,0,12,0,12,376149994,15.719,0.068,15.066,0.078,15.099,0.123
1023,0.837929,162.232823,2.7021597906E+016,246.66462708,74.505592346,1.7029777987E+018,30.427715302,DA,13955.222656,163.31112671,7.8399806023,0.000060593200033,spec-101150-59687-27021597906382329.fits,16.698793411,59687,J162639.57+743019.3,246.6648929,74.5053707,0.2268,0.2142,-0.0375,16.025,0.042,26.1,0.967,15.996,0.099,11,0.9623,13.369,null,0.8,0.8998,9.638,null,0.8,1.048,1,0,0,0,0,0,0,0,1nnn,0,39,62,2,62,0,59,0,56,1031985382,15.927,0.086,15.735,0.162,15.669,0.271
1125,0.476344,161.743405,2.7021597906E+016,250.96069336,63.474769592,1.6317963093E+018,13.548098564,DA,13563.820312,193.47569275,8.626288414,0.00071345054312,spec-101146-59952-27021597906415332.fits,9.9249515533,59952,J164350.58+632828.7,250.9607862,63.4746439,0.2961,0.2893,0.0863,17.244,0.104,10.4,0.906,16.668,0.184,5.9,0.9142,13.59,null,0,0.989,9.575,null,0.8,1.056,1,0,0,0,0,0,Dd00,0,nnnn,0,4,51,1,51,1,48,0,48,null,null,null,null,null,null,null
1126,0.476344,161.743405,2.7021597906E+016,250.96069336,63.474769592,1.6317963093E+018,13.548098564,DA,13563.820312,193.47569275,8.626288414,0.00071345054312,spec-101146-60011-27021597906415332.fits,29.058361053,60011,J164350.58+632828.7,250.9607862,63.4746439,0.2961,0.2893,0.0863,17.244,0.104,10.4,0.906,16.668,0.184,5.9,0.9142,13.59,null,0,0.989,9.575,null,0.8,1.056,1,0,0,0,0,0,Dd00,0,nnnn,0,4,51,1,51,1,48,0,48,null,null,null,null,null,null,null
1127,0.476344,161.743405,2.7021597906E+016,250.96069336,63.474769592,1.6317963093E+018,13.548098564,DA,13563.820312,193.47569275,8.626288414,0.00071345054312,spec-101146-60012-27021597906415332.fits,9.4066333771,60012,J164350.58+632828.7,250.9607862,63.4746439,0.2961,0.2893,0.0863,17.244,0.104,10.4,0.906,16.668,0.184,5.9,0.9142,13.59,null,0,0.989,9.575,null,0.8,1.056,1,0,0,0,0,0,Dd00,0,nnnn,0,4,51,1,51,1,48,0,48,null,null,null,null,null,null,null
1128,0.476344,161.743405,2.7021597906E+016,250.96069336,63.474769592,1.6317963093E+018,13.548098564,DA,13563.820312,193.47569275,8.626288414,0.00071345054312,spec-101146-60031-27021597906415332.fits,25.40158844,60031,J164350.58+632828.7,250.9607862,63.4746439,0.2961,0.2893,0.0863,17.244,0.104,10.4,0.906,16.668,0.184,5.9,0.9142,13.59,null,0,0.989,9.575,null,0.8,1.056,1,0,0,0,0,0,Dd00,0,nnnn,0,4,51,1,51,1,48,0,48,null,null,null,null,null,null,null
1287,0.97452,97.792598,4352018580,185.35687256,47.073051453,1.5453693309E+018,72.171958923,DA,11670.682617,2.0896031857,8.0734376907,0.000087715889094,spec-015238-59257-4352018580.fits,22.031324387,59257,J122125.74+470422.8,185.3572664,47.0730147,0.7632,0.8227,0.1697,17,0.128,8.5,0.9932,16.498,null,1.9,0.9901,13.065,null,-0.4,0.9147,9.463,null,-1.4,0.9101,1,0,0,0,0,0,0,0,nnnn,0,2,18,0,18,0,18,0,18,null,null,null,null,null,null,null
1288,0.97452,97.792598,4352018580,185.35687256,47.073051453,1.5453693309E+018,72.171958923,DA,11670.682617,2.0896031857,8.0734376907,0.000087715889094,spec-015238-59292-4352018580.fits,26.028341293,59292,J122125.74+470422.8,185.3572664,47.0730147,0.7632,0.8227,0.1697,17,0.128,8.5,0.9932,16.498,null,1.9,0.9901,13.065,null,-0.4,0.9147,9.463,null,-1.4,0.9101,1,0,0,0,0,0,0,0,nnnn,0,2,18,0,18,0,18,0,18,null,null,null,null,null,null,null
1289,0.97452,97.792598,4352018580,185.35687256,47.073051453,1.5453693309E+018,72.171958923,DA,11670.682617,2.0896031857,8.0734376907,0.000087715889094,spec-015238-59340-4352018580.fits,27.644031525,59340,J122125.74+470422.8,185.3572664,47.0730147,0.7632,0.8227,0.1697,17,0.128,8.5,0.9932,16.498,null,1.9,0.9901,13.065,null,-0.4,0.9147,9.463,null,-1.4,0.9101,1,0,0,0,0,0,0,0,nnnn,0,2,18,0,18,0,18,0,18,null,null,null,null,null,null,null
1290,0.97452,97.792598,4352018580,185.35687256,47.073051453,1.5453693309E+018,72.171958923,DA,11670.682617,2.0896031857,8.0734376907,0.000087715889094,spec-015238-59375-4352018580.fits,27.182695389,59375,J122125.74+470422.8,185.3572664,47.0730147,0.7632,0.8227,0.1697,17,0.128,8.5,0.9932,16.498,null,1.9,0.9901,13.065,null,-0.4,0.9147,9.463,null,-1.4,0.9101,1,0,0,0,0,0,0,0,nnnn,0,2,18,0,18,0,18,0,18,null,null,null,null,null,null,null
1353,0.460087,46.687775,2.7021598152E+016,156.42884827,9.4831533432,3.8761284418E+018,26.712564468,DA,6000,4.3786530495,8.9045534134,0.00024557023426,spec-101249-59697-27021598151516544.fits,19.052885056,59697,J102542.94+092859.6,156.4289425,9.483241,0.3045,0.3372,0.0588,16.502,0.105,10.3,0.8539,15.842,null,1.8,0.8986,12.312,null,0.1,0.8229,8.967,null,-0.5,0.9939,1,0,0,0,0,0,0,0,1nnn,5577,5,16,0,8,0,7,0,9,null,null,null,null,null,null,null
1354,0.460087,46.687775,2.7021598152E+016,156.42884827,9.4831533432,3.8761284418E+018,26.712564468,DA,6000,4.3786530495,8.9045534134,0.00024557023426,spec-101249-60059-27021598151516544.fits,10.596581459,60059,J102542.94+092859.6,156.4289425,9.483241,0.3045,0.3372,0.0588,16.502,0.105,10.3,0.8539,15.842,null,1.8,0.8986,12.312,null,0.1,0.8229,8.967,null,-0.5,0.9939,1,0,0,0,0,0,0,0,1nnn,5577,5,16,0,8,0,7,0,9,null,null,null,null,null,null,null
1355,0.460087,46.687775,2.7021598152E+016,156.42884827,9.4831533432,3.8761284418E+018,26.712564468,DA,6000,4.3786530495,8.9045534134,0.00024557023426,spec-101249-60060-27021598151516544.fits,10.555963516,60060,J102542.94+092859.6,156.4289425,9.483241,0.3045,0.3372,0.0588,16.502,0.105,10.3,0.8539,15.842,null,1.8,0.8986,12.312,null,0.1,0.8229,8.967,null,-0.5,0.9939,1,0,0,0,0,0,0,0,1nnn,5577,5,16,0,8,0,7,0,9,null,null,null,null,null,null,null
1427,0.122474,-18.463863,2.7021598104E+016,134.1133728,18.056297302,6.1228136367E+017,11.006293297,DA,14735.442383,14.559493065,7.743162632,0.00059731915826,spec-102011-59986-27021598104493973.fits,5.1716432571,59986,J085627.20+180322.7,134.1133615,18.0563296,0.3593,0.3918,-0.0659,15.676,0.063,17.1,0.8593,16.131,0.308,3.5,1.062,11.864,null,1.8,1.026,8.935,null,-0.1,1.122,1,0,0,0,0,0,0,0,0nnn,0,10,10,0,10,0,10,0,10,394020858,16.98,0.19,15.968,0.166,15.561,0.16
1500,0.194286,21.889411,2.7021597914E+016,149.6288147,69.482917786,1.070555478E+018,27.223100662,DA,22649.896484,96.306671143,7.9032187462,0.00021392267081,spec-102997-59678-27021597913781597.fits,19.03452301,59678,J095830.92+692858.6,149.6288721,69.4829679,0.5758,0.6171,0.0288,16.696,0.099,11,0.9861,16.603,0.313,3.5,0.869,12.906,null,-0.7,0.8836,8.868,null,0.9,0.9634,1,0,0,0,0,0.001,0,0,1nnn,0,6,20,0,20,0,18,1,19,547904409,16.39,0.105,15.92,null,16.744,null
