cntr_01,dist_x,pang_x,catalogid_01,ra_01,dec_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
112,7.173351,45.513333,27021597964679108,2.9795959473E+01,3.0254934311E+01,J015911.42+301522.7,29.7976052,30.2563306,0.4297,0.4390,-0.1160,17.429,0.156,7.0,9.517E-01,16.462,0.261,4.2,9.438E-01,11.648,null,1.6,9.800E-01,8.712,null,0.5,1.132E+00,1,0,0.000,0.000,0.000,0.000,1400,1453,-154,1496,0000,0,nnnn,BBUU,3455,4,31,2,27,0,8,0,11
113,6.185908,-61.892471,4268106204,2.8366925049E+02,5.6216514587E+01,J185439.96+561302.3,283.6665247,56.2173241,0.0631,0.0619,-0.0102,14.886,0.028,38.7,1.302E+00,14.948,0.045,24.3,9.007E-01,12.742,0.279,3.9,1.011E+00,9.174,null,1.3,9.750E-01,1,0,0.000,0.000,0.000,0.000,29,132,47,134,hh00,0,11nn,AABU,0000,101,101,88,101,0,54,1,54
116,4.852033,-132.564268,4538244260,9.2336814880E+01,2.1888021469E+01,J060920.57+215313.5,92.3357451,21.8871098,0.0449,0.0420,-0.0081,12.411,0.023,47.0,1.359E+00,12.430,0.026,42.6,9.391E-01,11.124,0.176,6.2,1.001E+00,6.785,0.126,8.6,2.031E+00,1,0,0.000,0.000,0.000,0.000,-52,68,-17,71,00HD,0,00nn,AABB,1100,22,22,22,22,2,11,10,11
119,7.028182,-51.336354,27021598151762506,1.7216925049E+02,1.1373801231E+00,J112840.25+010818.9,172.1677258,1.1385998,0.1483,0.1596,0.0243,15.893,0.057,19.1,8.808E-01,15.726,0.142,7.6,8.764E-01,11.706,0.237,4.6,1.080E+00,8.340,null,1.7,1.088E+00,1,0,0.000,0.000,0.000,0.000,533,538,698,585,0000,0,1nnn,ABBU,0000,21,24,1,24,0,12,0,12
121,6.182355,150.413925,4505288332,8.9127128601E+01,2.4134632111E+01,J055630.73+240759.2,89.1280577,24.1331387,0.1230,0.1316,-0.0229,15.277,0.046,23.4,8.064E-01,15.572,0.139,7.8,7.430E-01,12.308,null,0.0,1.060E+00,8.322,null,1.3,8.208E-01,1,0,0.000,0.000,0.000,0.000,-129,384,143,421,0000,0,0nnn,ABUU,1100,23,23,1,23,0,11,0,11
125,8.449537,112.425340,4554727179,1.2097127533E+02,3.2233386993E+01,J080353.72+321356.9,120.9738402,32.2324916,0.1902,0.2090,-0.0252,16.310,0.067,16.2,1.182E+00,16.307,0.236,4.6,9.551E-01,11.864,null,1.5,8.917E-01,8.886,null,0.2,1.056E+00,1,0,0.000,0.000,0.000,0.004,-44,702,1021,775,0000,0,0nnn,ABUU,0000,16,23,2,23,1,12,0,12
126,0.225648,36.288202,27021597960182507,3.8963920593E+01,1.3124582767E+00,J023551.34+011845.0,38.9639577,1.3125088,0.0893,0.0898,-0.0225,15.222,0.035,31.3,1.017E+00,15.250,0.091,12.0,8.963E-01,12.771,null,-0.4,8.951E-01,9.199,null,-1.7,9.712E-01,1,0,0.000,0.000,0.000,0.000,546,155,-69,161,0000,0,00nn,AAUU,1344,37,37,13,33,0,24,0,25
127,1.643221,-136.585423,4592748320,1.3692546082E+02,5.2268390656E+00,J090742.03+051335.4,136.9251458,5.2265075,0.5417,0.6062,-0.0017,17.467,0.181,6.0,8.303E-01,16.729,null,1.2,9.015E-01,12.558,null,-0.3,9.008E-01,8.859,null,0.3,9.446E-01,1,0,0.000,0.000,0.000,0.000,325,2329,-791,2605,0000,0,nnnn,BUUU,0000,1,24,0,24,0,12,0,12
130,2.586611,-63.144811,27021597908807787,1.8834881592E+02,6.7758262634E+01,J123323.30+674530.9,188.3471224,67.7585872,0.1618,0.1649,0.0450,16.403,0.057,19.0,9.700E-01,16.172,0.147,7.4,8.529E-01,12.596,null,0.8,9.743E-01,9.078,null,-0.7,8.832E-01,1,0,0.000,0.000,0.000,0.000,0,612,0,620,0000,0,0nnn,ABUU,0000,27,38,1,38,0,17,0,17
131,3.101713,-161.807893,4401876306,3.9750854492E+01,1.7408432066E-01,J023900.14+001023.7,39.7505855,0.1732658,0.5426,0.5662,-0.1517,17.738,0.173,6.3,8.742E-01,17.382,null,-0.3,9.499E-01,12.886,null,-0.6,8.092E-01,8.861,null,1.0,9.833E-01,1,0,0.000,0.000,0.000,0.000,-1629,1465,4,1530,0000,0,nnnn,BUUU,1233,1,42,0,32,0,26,0,27
133,0.595938,54.960578,27021598151249520,1.5729040527E+02,2.0979113579E+00,J102909.72+020552.8,157.2905409,2.0980064,0.0716,0.0734,-0.0050,14.513,0.030,35.7,1.075E+00,14.696,0.061,17.8,9.537E-01,12.042,null,1.6,8.561E-01,8.530,null,1.3,1.034E+00,1,0,0.000,0.000,0.000,0.000,-27,173,-219,188,0000,0,11nn,AAUU,1111,26,26,20,26,0,16,1,16
135,6.905791,-15.214960,27021598864373705,2.9741452026E+02,2.3635866642E+00,J194939.36+022155.5,297.4140164,2.3654377,0.0943,0.0991,-0.0186,15.311,0.037,29.6,1.327E+00,15.503,0.100,10.9,1.062E+00,12.571,null,-1.9,8.603E-01,8.730,null,0.9,9.833E-01,1,0,0.000,0.000,0.000,0.000,-113,310,510,334,00P0,0,0nnn,AAUU,0000,25,25,3,25,0,12,0,12
