cntr_01,dist_x,pang_x,catalogid_01,ra_01,dec_01,gaia_dr3_source_id_01,snr_snowwhite_01,wd_type_01,teff_snowwhite_01,e_teff_snowwhite_01,logg_snowwhite_01,e_logg_snowwhite_01,spec_file_01,sn_median_all_01,mjd_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ext_flg,var_flg,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
11530,0.316125,-159.639299,2.7021597906E+16,2.6200585938E+02,6.9643981934E+01,1.6384483890E+18,9.1123939514E+01,DA,1.5585747070E+04,1.2301449776E+01,7.9402914047E+00,4.9694008339E-05,spec-101180-59651-27021597906155703.fits,3.8341419220E+01,59651,J172801.38+693838.0,262.0057715,69.6438996,0.2040,0.1985,-0.0444,16.477,0.038,28.8,9.660E-01,16.725,0.109,10.0,9.480E-01,13.592,null,1.8,9.208E-01,10.058,null,1.1,9.864E-01,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,31,167,4,167,1,155,0,156,664185930,16.202,0.123,15.827,null,16.155,null
11531,0.316125,-159.639299,2.7021597906E+16,2.6200585938E+02,6.9643981934E+01,1.6384483890E+18,9.1123939514E+01,DA,1.5585747070E+04,1.2301449776E+01,7.9402914047E+00,4.9694008339E-05,spec-101180-59657-27021597906155703.fits,3.5507808685E+01,59657,J172801.38+693838.0,262.0057715,69.6438996,0.2040,0.1985,-0.0444,16.477,0.038,28.8,9.660E-01,16.725,0.109,10.0,9.480E-01,13.592,null,1.8,9.208E-01,10.058,null,1.1,9.864E-01,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,31,167,4,167,1,155,0,156,664185930,16.202,0.123,15.827,null,16.155,null
11532,0.316125,-159.639299,2.7021597906E+16,2.6200585938E+02,6.9643981934E+01,1.6384483890E+18,9.1123939514E+01,DA,1.5585747070E+04,1.2301449776E+01,7.9402914047E+00,4.9694008339E-05,spec-101180-59658-27021597906155703.fits,3.8643058777E+01,59658,J172801.38+693838.0,262.0057715,69.6438996,0.2040,0.1985,-0.0444,16.477,0.038,28.8,9.660E-01,16.725,0.109,10.0,9.480E-01,13.592,null,1.8,9.208E-01,10.058,null,1.1,9.864E-01,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,31,167,4,167,1,155,0,156,664185930,16.202,0.123,15.827,null,16.155,null
11533,0.316125,-159.639299,2.7021597906E+16,2.6200585938E+02,6.9643981934E+01,1.6384483890E+18,9.1123939514E+01,DA,1.5585747070E+04,1.2301449776E+01,7.9402914047E+00,4.9694008339E-05,spec-101180-59659-27021597906155703.fits,2.1248443127E+00,59659,J172801.38+693838.0,262.0057715,69.6438996,0.2040,0.1985,-0.0444,16.477,0.038,28.8,9.660E-01,16.725,0.109,10.0,9.480E-01,13.592,null,1.8,9.208E-01,10.058,null,1.1,9.864E-01,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,31,167,4,167,1,155,0,156,664185930,16.202,0.123,15.827,null,16.155,null
11558,0.300678,17.247193,5.3680784940E+09,2.8350585938E+02,3.7789478302E+01,2.0941214281E+18,9.5833520889E+00,DA,1.7445035156E+04,1.9499749756E+02,7.8480668068E+00,7.0192653220E-04,spec-015332-59305-5368078494.fits,6.4628806114E+00,59305,J185401.41+374722.4,283.5058907,37.7895581,1.2020,1.2817,-0.3733,17.412,0.206,5.3,8.112E-01,16.885,null,1.1,8.399E-01,13.227,null,-1.4,1.103E+00,9.575,null,0.0,9.246E-01,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,0,24,0,24,0,23,0,23,null,null,null,null,null,null,null
11613,0.317345,165.348989,2.7021597844E+16,2.7669851685E+02,7.0910484314E+01,2.2604326292E+18,5.5544857025E+01,DA,1.0535247070E+04,6.9683906555E+01,8.0523986816E+00,2.9793524300E-04,spec-101169-59984-27021597843799903.fits,1.1952318192E+01,59984,J182647.66+705437.4,276.6985850,70.9103990,0.2792,0.3023,0.0521,17.522,0.096,11.3,8.663E-01,17.680,0.365,3.0,9.563E-01,13.824,null,-0.7,9.915E-01,10.126,null,-1.3,9.722E-01,1,0,0.000,0.000,0.000,0.001,0000,0,nnnn,0000,3,83,2,83,1,77,1,80,null,null,null,null,null,null,null
11657,0.101282,-36.610802,2.7021597974E+16,6.9772796631E+01,-3.9044207335E-01,3.2303568473E+18,null,DA,null,null,null,null,spec-103629-59934-27021597973840522.fits,1.3085435629E+00,59934,J043905.46-002325.5,69.7727799,-0.3904195,0.1552,0.1619,-0.0308,14.905,0.034,32.4,8.098E-01,14.563,0.058,18.6,9.395E-01,13.034,null,-0.5,1.022E+00,8.909,null,1.6,9.382E-01,1,0,0.000,0.000,0.000,0.000,0000,0,11nn,0022,26,26,20,26,0,24,0,24,null,null,null,null,null,null,null
11658,0.101282,-36.610802,2.7021597974E+16,6.9772796631E+01,-3.9044207335E-01,3.2303568473E+18,null,DA,null,null,null,null,spec-103629-59939-27021597973840522.fits,5.3022837639E+00,59939,J043905.46-002325.5,69.7727799,-0.3904195,0.1552,0.1619,-0.0308,14.905,0.034,32.4,8.098E-01,14.563,0.058,18.6,9.395E-01,13.034,null,-0.5,1.022E+00,8.909,null,1.6,9.382E-01,1,0,0.000,0.000,0.000,0.000,0000,0,11nn,0022,26,26,20,26,0,24,0,24,null,null,null,null,null,null,null
11659,0.101282,-36.610802,2.7021597974E+16,6.9772796631E+01,-3.9044207335E-01,3.2303568473E+18,null,DA,null,null,null,null,spec-103629-59941-27021597973840522.fits,1.1146042347E+00,59941,J043905.46-002325.5,69.7727799,-0.3904195,0.1552,0.1619,-0.0308,14.905,0.034,32.4,8.098E-01,14.563,0.058,18.6,9.395E-01,13.034,null,-0.5,1.022E+00,8.909,null,1.6,9.382E-01,1,0,0.000,0.000,0.000,0.000,0000,0,11nn,0022,26,26,20,26,0,24,0,24,null,null,null,null,null,null,null
11686,0.131989,-14.929613,2.7021597889E+16,7.9605964661E+01,6.7897285461E+01,4.8447592306E+17,4.4219272614E+01,DA,1.6849804688E+04,8.3486625671E+01,7.9930205345E+00,1.9119670469E-05,spec-103711-59886-27021597889010574.fits,2.7261354446E+01,59886,J051825.42+675350.3,79.6059396,67.8973209,0.2812,0.3016,-0.0749,15.795,0.053,20.5,1.048E+00,15.532,0.128,8.5,8.647E-01,12.897,null,0.3,8.433E-01,9.291,null,-1.4,9.584E-01,1,0,0.000,0.000,0.000,0.001,0000,0,0nnn,0000,17,17,2,17,0,17,0,17,1210863483,16.486,0.130,16.202,null,16.314,null
11758,0.575574,71.481705,4.5877750730E+09,1.9978324890E+02,-1.4626441002E+01,3.6079405478E+18,2.8461912155E+01,DA,2.1828281250E+04,1.7286613464E+02,7.6876125336E+00,8.6961124907E-05,spec-015199-59247-4587775073.fits,1.0683158875E+01,59247,J131908.01-143735.0,199.7834056,-14.6263902,0.3794,0.4112,0.0533,16.264,0.068,16.0,9.424E-01,16.217,0.212,5.1,9.775E-01,12.725,null,0.6,9.204E-01,9.387,null,-1.7,1.085E+00,1,0,0.000,0.000,0.000,0.003,0000,0,0nnn,0000,17,22,1,22,1,22,0,22,null,null,null,null,null,null,null
