cntr_01,dist_x,pang_x,catalogid_01,ra_01,dec_01,gaia_dr3_source_id_01,snr_snowwhite_01,wd_type_01,teff_snowwhite_01,e_teff_snowwhite_01,logg_snowwhite_01,e_logg_snowwhite_01,spec_file_01,sn_median_all_01,mjd_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
12355,6.985667,98.373472,2.7021597940E+16,3.3588598633E+02,1.0036091805E+00,2.6785068761E+18,1.9593873596E+02,DA,1.4862344727E+04,1.7602680206E+01,7.8010339737E+00,1.2394825171E-04,spec-104657-59874-27021597939691219.fits,2.2802244186E+01,59874,J222333.09+010011.9,335.8879064,1.0033266,0.1130,0.1129,-0.0299,15.308,0.043,25.4,9.552E-01,15.294,0.108,10.0,9.848E-01,12.010,0.417,2.6,8.262E-01,8.737,null,0.3,1.062E+00,1,0,0.000,0.000,0.000,0.000,-400,380,117,383,00PP,0,0nnn,AACU,1111,21,21,8,21,0,9,0,9
12357,4.339570,-173.574215,2.7021598693E+16,2.8934484863E+02,-8.5735664368E+00,4.2016140215E+18,1.6351539612E+01,DA,1.4551115234E+04,2.5583847046E+02,8.9877710342E+00,1.8314667614E-05,spec-100547-59845-27021598693329763.fits,1.1512887001E+01,59845,J191722.73-083429.1,289.3447122,-8.5747643,0.1289,0.1204,-0.0723,14.570,0.055,19.7,2.328E+00,14.823,0.103,10.5,1.186E+00,12.182,null,0.3,1.007E+00,8.049,null,0.6,9.007E-01,2,1,0.000,0.000,0.000,0.000,null,null,null,null,0000,0,nnnn,AAUU,1100,25,25,19,25,0,12,0,12
12357,5.510094,-108.646326,2.7021598693E+16,2.8934484863E+02,-8.5735664368E+00,4.2016140215E+18,1.6351539612E+01,DA,1.4551115234E+04,2.5583847046E+02,8.9877710342E+00,1.8314667614E-05,spec-100547-59845-27021598693329763.fits,1.1512887001E+01,59845,J191722.41-083426.6,289.3433820,-8.5740558,0.1015,0.0848,-0.0461,14.147,0.043,25.3,2.328E+00,14.182,0.062,17.4,1.186E+00,12.122,null,0.5,1.007E+00,8.332,null,-1.2,9.007E-01,2,1,0.000,0.000,0.000,0.000,17,127,14,123,0000,0,nnnn,AAUU,1100,25,25,25,25,0,12,0,12
12357,9.441262,47.970945,2.7021598693E+16,2.8934484863E+02,-8.5735664368E+00,4.2016140215E+18,1.6351539612E+01,DA,1.4551115234E+04,2.5583847046E+02,8.9877710342E+00,1.8314667614E-05,spec-100547-59845-27021598693329763.fits,1.1512887001E+01,59845,J191723.23-083418.5,289.3468187,-8.5718106,0.2093,0.1371,-0.0500,14.818,0.089,12.3,1.725E+00,14.912,0.126,8.6,1.157E+00,12.322,null,-1.6,1.030E+00,8.354,null,0.2,9.411E-01,2,1,0.000,0.000,0.000,0.000,null,null,null,null,0000,0,nnnn,ABUU,1100,25,25,12,25,0,12,0,12
12358,1.664221,109.618996,4.4740639460E+09,1.0762838745E+02,-1.2689519882E+01,3.0447136248E+18,4.0086612701E+01,DA,2.1616398438E+04,1.1921833038E+01,7.7423305511E+00,1.8735782942E-04,spec-015086-59220-4474063946.fits,2.4354696274E+01,59220,J071030.92-124122.8,107.6288338,-12.6896751,0.0634,0.0644,-0.0102,14.435,0.029,37.3,1.137E+00,14.220,0.041,26.5,1.092E+00,12.036,null,1.7,9.882E-01,8.984,null,-1.8,1.098E+00,1,0,0.000,0.000,0.000,0.000,-82,150,-7,156,0000,0,01nn,AAUU,0000,29,29,29,29,0,13,0,13
12359,1.664221,109.618996,4.4740639460E+09,1.0762838745E+02,-1.2689519882E+01,3.0447136248E+18,4.0086612701E+01,DA,2.1616398438E+04,1.1921833038E+01,7.7423305511E+00,1.8735782942E-04,spec-015086-59267-4474063946.fits,1.6897758484E+01,59267,J071030.92-124122.8,107.6288338,-12.6896751,0.0634,0.0644,-0.0102,14.435,0.029,37.3,1.137E+00,14.220,0.041,26.5,1.092E+00,12.036,null,1.7,9.882E-01,8.984,null,-1.8,1.098E+00,1,0,0.000,0.000,0.000,0.000,-82,150,-7,156,0000,0,01nn,AAUU,0000,29,29,29,29,0,13,0,13
12360,0.851525,-2.072209,4.3477323610E+09,2.6679223633E+02,7.7241180420E+01,1.6572004181E+18,1.2563984871E+01,DA,1.2906047852E+04,6.0482769012E+00,7.9434542656E+00,5.7483854471E-04,spec-015370-59338-4347732361.fits,7.4075293541E+00,59338,J174710.12+771429.1,266.7921976,77.2414168,0.6518,0.6865,-0.1549,18.662,0.216,5.0,1.004E+00,18.209,null,-0.5,8.613E-01,13.263,null,-1.1,1.053E+00,9.629,null,-1.6,9.508E-01,1,0,0.004,0.000,0.000,0.000,0,3869,0,4335,0000,0,nnnn,BUUU,0000,3,105,1,105,0,38,0,38
12361,0.851525,-2.072209,4.3477323610E+09,2.6679223633E+02,7.7241180420E+01,1.6572004181E+18,1.2563984871E+01,DA,1.2906047852E+04,6.0482769012E+00,7.9434542656E+00,5.7483854471E-04,spec-015370-59363-4347732361.fits,2.8828976154E+00,59363,J174710.12+771429.1,266.7921976,77.2414168,0.6518,0.6865,-0.1549,18.662,0.216,5.0,1.004E+00,18.209,null,-0.5,8.613E-01,13.263,null,-1.1,1.053E+00,9.629,null,-1.6,9.508E-01,1,0,0.004,0.000,0.000,0.000,0,3869,0,4335,0000,0,nnnn,BUUU,0000,3,105,1,105,0,38,0,38
12362,0.851525,-2.072209,4.3477323610E+09,2.6679223633E+02,7.7241180420E+01,1.6572004181E+18,1.2563984871E+01,DA,1.2906047852E+04,6.0482769012E+00,7.9434542656E+00,5.7483854471E-04,spec-015370-59382-4347732361.fits,2.7033524513E+00,59382,J174710.12+771429.1,266.7921976,77.2414168,0.6518,0.6865,-0.1549,18.662,0.216,5.0,1.004E+00,18.209,null,-0.5,8.613E-01,13.263,null,-1.1,1.053E+00,9.629,null,-1.6,9.508E-01,1,0,0.004,0.000,0.000,0.000,0,3869,0,4335,0000,0,nnnn,BUUU,0000,3,105,1,105,0,38,0,38
12365,8.164023,-93.246831,4.5042932170E+09,8.4809265137E+01,2.1998899460E+01,3.4033979186E+18,4.7172656059E+00,DA,9.1721835938E+03,8.8564437866E+01,8.3444576263E+00,1.1017423822E-03,spec-015226-59265-4504293217.fits,3.2914524078E+00,59265,J053913.63+215955.5,84.8068232,21.9987710,0.4251,0.4696,-0.0977,16.976,0.143,7.6,7.695E-01,17.084,null,0.1,8.540E-01,12.526,null,-1.4,9.326E-01,8.983,null,-1.0,9.830E-01,1,0,0.000,0.000,0.000,0.000,1086,1739,707,1932,0000,0,nnnn,BUUU,0000,4,25,0,25,0,12,0,12
12367,2.676948,-49.965562,2.7021597919E+16,1.7915724182E+02,5.6976974487E+01,8.4215756536E+17,3.2216003418E+01,DA,7.0158203125E+03,8.2785835266E+01,7.6771264076E+00,1.3003379572E-03,spec-104632-59644-27021597918631096.fits,4.1110205650E+00,59644,J115637.48+565838.8,179.1561971,56.9774528,0.0520,0.0529,-0.0022,13.996,0.025,42.9,1.049E+00,13.869,0.034,32.4,9.282E-01,12.269,null,1.8,9.555E-01,9.368,null,-0.5,9.082E-01,1,0,0.000,0.000,0.000,0.000,188,96,-104,102,0000,0,22nn,AAUU,0000,33,33,33,33,0,18,0,19
12368,2.676948,-49.965562,2.7021597919E+16,1.7915724182E+02,5.6976974487E+01,8.4215756536E+17,3.2216003418E+01,DA,7.0158203125E+03,8.2785835266E+01,7.6771264076E+00,1.3003379572E-03,spec-104632-59675-27021597918631096.fits,6.9280519485E+00,59675,J115637.48+565838.8,179.1561971,56.9774528,0.0520,0.0529,-0.0022,13.996,0.025,42.9,1.049E+00,13.869,0.034,32.4,9.282E-01,12.269,null,1.8,9.555E-01,9.368,null,-0.5,9.082E-01,1,0,0.000,0.000,0.000,0.000,188,96,-104,102,0000,0,22nn,AAUU,0000,33,33,33,33,0,18,0,19
12369,2.676948,-49.965562,2.7021597919E+16,1.7915724182E+02,5.6976974487E+01,8.4215756536E+17,3.2216003418E+01,DA,7.0158203125E+03,8.2785835266E+01,7.6771264076E+00,1.3003379572E-03,spec-104632-60073-27021597918631096.fits,1.2279248238E+01,60073,J115637.48+565838.8,179.1561971,56.9774528,0.0520,0.0529,-0.0022,13.996,0.025,42.9,1.049E+00,13.869,0.034,32.4,9.282E-01,12.269,null,1.8,9.555E-01,9.368,null,-0.5,9.082E-01,1,0,0.000,0.000,0.000,0.000,188,96,-104,102,0000,0,22nn,AAUU,0000,33,33,33,33,0,18,0,19
12376,8.771153,-28.367632,4.6036327080E+09,2.1416294861E+02,3.4471202850E+01,1.4791112484E+18,1.6831315994E+01,DA,1.0074863281E+04,3.7163174152E+00,8.1692018509E+00,2.4251943614E-05,spec-015322-59340-4603632708.fits,1.2114698410E+01,59340,J141638.77+342824.0,214.1615444,34.4733467,0.1547,0.1655,0.0289,16.207,0.058,18.6,9.163E-01,15.921,0.125,8.7,9.432E-01,12.508,0.436,2.5,9.008E-01,9.398,null,-0.8,1.018E+00,1,0,0.000,0.000,0.000,0.000,162,424,-528,460,0000,0,0nnn,ABCU,0000,30,36,3,36,0,22,1,22
12376,9.780670,112.758599,4.6036327080E+09,2.1416294861E+02,3.4471202850E+01,1.4791112484E+18,1.6831315994E+01,DA,1.0074863281E+04,3.7163174152E+00,8.1692018509E+00,2.4251943614E-05,spec-015322-59340-4603632708.fits,1.2114698410E+01,59340,J141639.83+342812.5,214.1659875,34.4701518,0.1692,0.1813,0.0393,16.277,0.062,17.4,8.389E-01,15.990,0.147,7.4,8.587E-01,12.140,null,1.8,7.664E-01,8.938,null,0.7,9.721E-01,1,0,0.000,0.000,0.000,0.000,439,458,45,494,0000,0,0nnn,ABUU,0000,29,35,1,35,0,20,0,21
